"Age","Sexe","CSP","Region","RS_quotidien","Protection_donnees","Internet_utilite","Mefiance_arnaques","Messages_vs_appels","Tech_generations","Achats_en_ligne","Ecrans_nuisent","RS_vie_privee","Temps_ecran","Confiance_paiement","Actu_en_ligne","IA_fiable","Tech_avantages","Dependance_numerique","Cinema","Lecture_vs_films","Culture_essentielle","Lecture_frequente","Musique_quotidienne","Culture_accessible","Streaming","Culture_chere","Musees","Culture_generations","Nouveaux_styles","Culture_locale","Culture_vs_sport","Culture_temps","Film_seul","Instagram","TikTok","Abonnement_streaming","Voyage_etranger","Salle_sport","Ebook","Benevolat","Actu_quotidienne","Sommeil_7h"
31,"Femme","Professionnel","Centre",3,4,1,5,5,3,3,5,5,5,5,5,1,4,5,3,5,5,5,5,3,3,5,5,5,5,5,2,5,5,"Non","oui","Non","Non","Non","Non","oui","Non","oui"
21,"Femme","Etudiant","Centre",5,5,4,5,5,5,2,4,2,4,4,4,1,3,5,1,1,1,1,3,1,5,4,2,5,5,2,1,1,1,"oui","oui","oui","oui","Non","Non","oui","Non","oui"
23,"Homme","Etudiant","Centre",1,1,4,5,2,4,3,5,1,3,3,4,3,3,1,2,2,5,2,5,5,4,3,2,5,5,2,3,1,5,"Non","Non","oui","Non","oui","oui","Non","oui","Non"
24,"Femme","Etudiant","Nord",5,5,5,4,2,1,4,1,1,4,1,5,3,4,3,1,2,5,2,5,5,5,4,5,4,5,3,2,4,2,"oui","oui","Non","oui","Non","Non","Non","oui","oui"
23,"Femme","Etudiant","Centre",5,3,5,2,3,5,4,5,2,5,1,5,1,4,2,5,1,5,4,4,5,5,3,3,5,3,3,5,1,1,"oui","oui","Non","oui","Non","Non","Non","oui","oui"
22,"Homme","Etudiant","Centre",5,5,5,5,4,1,3,4,1,1,5,5,3,4,2,4,1,2,1,4,3,4,3,2,4,4,3,1,1,1,"Non","oui","oui","Non","Non","oui","Non","Non","Non"
60,"Homme","Professionnel","Sud",4,2,1,1,4,5,5,3,2,2,1,2,5,3,1,2,3,1,3,2,5,5,1,2,2,2,2,5,1,1,"Non","oui","Non","Non","Non","oui","Non","Non","oui"
30,"Homme","Professionnel","Sud",5,3,5,4,4,4,4,5,3,4,5,3,5,5,2,4,3,5,4,5,4,4,5,4,5,5,2,5,5,2,"oui","oui","oui","Non","oui","oui","Non","Non","Non"
24,"Homme","Etudiant","Centre",4,3,5,5,4,4,1,4,1,4,5,1,5,5,2,5,2,5,5,5,4,2,5,3,4,5,2,4,5,3,"Non","oui","Non","oui","Non","Non","oui","Non","oui"
66,"Femme","Professionnel","Nord",5,4,4,4,1,4,1,1,5,4,1,4,2,5,1,2,4,5,5,2,5,5,3,1,3,3,2,4,2,2,"oui","Non","oui","oui","Non","oui","Non","oui","oui"
63,"Homme","Retraité","Centre",5,5,5,5,5,3,3,4,4,5,4,5,2,5,4,4,5,5,5,5,3,3,4,4,4,5,3,2,5,5,"oui","Non","oui","oui","oui","Non","oui","oui","Non"
47,"Homme","Professionnel","Centre",5,5,5,4,5,3,3,5,4,5,5,5,2,4,4,5,5,5,5,5,3,2,5,4,5,5,5,2,5,5,"oui","oui","oui","oui","oui","oui","oui","oui","Non"
23,"Femme","Professionnel","Centre",5,4,4,4,5,4,2,3,3,5,2,4,2,2,4,2,2,5,3,3,5,1,4,2,5,3,2,2,2,2,"oui","Non","oui","Non","Non","Non","Non","oui","oui"
42,"Homme","Professionnel","Sud",2,1,1,1,1,5,5,1,2,2,2,2,5,1,1,4,1,2,1,1,3,5,3,2,2,2,2,4,1,2,"Non","Non","oui","Non","Non","oui","Non","oui","Non"
45,"Homme","Professionnel","Centre",2,2,5,1,3,5,5,1,1,2,2,2,4,1,1,2,2,1,1,1,5,5,1,2,2,4,2,4,2,1,"oui","oui","oui","Non","oui","oui","oui","oui","oui"
29,"Femme","Professionnel","Nord",3,3,3,3,3,3,4,3,1,5,5,2,3,3,3,2,3,2,1,3,3,3,5,3,4,4,3,3,5,2,"oui","Non","oui","oui","oui","Non","oui","Non","Non"
42,"Homme","Professionnel","Sud",4,2,2,4,2,4,4,2,4,4,4,2,4,4,3,4,2,3,2,2,2,4,3,4,5,5,3,5,4,5,"Non","Non","Non","Non","Non","Non","oui","Non","Non"
19,"Homme","Etudiant","Sud",3,5,3,3,3,4,3,5,3,2,3,3,3,2,1,3,3,3,3,4,4,3,3,4,5,2,2,2,3,3,"Non","Non","oui","oui","Non","oui","Non","Non","oui"
23,"Homme","Etudiant","Centre",2,1,2,4,2,3,5,2,2,2,2,3,2,4,4,1,1,2,1,1,2,4,2,2,2,2,2,3,3,4,"Non","oui","oui","Non","oui","Non","oui","oui","Non"
48,"Homme","Professionnel","Sud",5,5,5,5,5,4,4,4,2,5,5,5,2,5,3,5,5,5,5,4,5,3,4,4,4,4,5,2,5,4,"Non","oui","Non","Non","oui","Non","Non","oui","Non"
22,"Femme","Etudiant","Centre",5,5,5,5,5,5,4,4,2,5,3,2,2,4,3,1,3,5,3,3,4,1,4,1,3,2,3,2,2,1,"oui","oui","Non","Non","Non","Non","oui","oui","Non"
22,"Homme","Etudiant","Nord",5,4,5,4,3,4,2,3,2,4,3,5,4,5,2,3,5,4,5,5,5,4,4,2,4,5,4,3,1,3,"oui","oui","Non","oui","oui","Non","Non","oui","oui"
42,"Femme","Professionnel","Sud",4,3,5,5,4,5,2,5,3,4,4,2,5,5,2,4,1,5,4,4,4,2,5,2,2,2,1,5,4,2,"Non","oui","oui","oui","oui","oui","Non","oui","Non"
56,"Femme","Retraité","Sud",3,5,5,4,2,4,2,5,3,4,5,3,5,5,3,4,3,4,4,3,5,4,5,2,4,5,2,5,4,1,"oui","Non","oui","oui","oui","Non","Non","Non","Non"
18,"Homme","Etudiant","Centre",3,1,2,1,2,5,5,2,2,2,1,2,3,1,1,3,4,1,1,2,4,5,1,2,4,3,2,5,1,1,"Non","oui","oui","Non","oui","Non","oui","Non","Non"
64,"Femme","Retraité","Sud",4,3,1,2,3,5,5,1,2,2,2,2,5,1,1,2,2,1,2,1,5,5,1,2,2,4,2,5,1,1,"oui","oui","oui","Non","oui","Non","oui","oui","oui"
31,"Homme","Professionnel","Centre",4,3,5,4,4,4,1,5,2,4,4,1,2,5,3,5,3,5,2,4,4,3,5,2,2,5,1,4,3,2,"Non","oui","oui","Non","oui","oui","Non","Non","oui"
23,"Homme","Etudiant","Nord",4,5,4,2,4,2,1,5,3,3,1,5,4,5,3,2,4,4,4,4,5,5,2,1,5,5,4,4,1,3,"oui","Non","Non","Non","oui","oui","Non","oui","oui"
22,"Femme","Etudiant","Centre",4,5,5,3,2,4,3,4,2,4,3,3,2,4,4,2,4,5,5,3,3,4,3,2,4,5,3,5,3,5,"oui","Non","oui","Non","oui","oui","Non","Non","oui"
43,"Homme","Professionnel","Nord",4,1,2,4,1,3,3,2,1,2,2,4,3,1,4,2,1,2,2,1,3,3,2,1,2,2,3,2,2,4,"oui","Non","oui","oui","Non","Non","oui","Non","oui"
60,"Femme","Professionnel","Centre",5,1,4,3,2,3,5,4,1,5,1,2,3,3,3,1,4,5,1,1,3,2,4,2,4,2,5,2,1,1,"oui","oui","Non","Non","oui","Non","oui","oui","Non"
42,"Homme","Professionnel","Sud",1,1,2,2,1,1,3,2,1,1,2,3,3,4,5,2,1,3,2,2,2,3,4,2,4,2,3,1,2,4,"oui","Non","oui","oui","oui","oui","Non","oui","Non"
25,"Femme","Professionnel","Centre",2,1,2,3,1,1,2,2,2,2,2,3,2,3,3,2,1,3,2,1,2,4,2,2,3,4,2,5,2,2,"oui","Non","Non","Non","oui","oui","Non","oui","oui"
19,"Femme","Etudiant","Centre",2,2,1,1,1,5,5,1,1,2,2,2,5,1,2,2,2,2,2,1,5,3,2,2,2,2,2,4,1,1,"Non","Non","Non","oui","Non","oui","oui","Non","Non"
48,"Homme","Professionnel","Centre",5,3,5,5,4,3,1,1,4,4,5,2,5,5,2,5,5,4,3,3,3,2,5,3,4,4,2,5,5,2,"Non","Non","Non","oui","Non","Non","oui","oui","Non"
78,"Homme","Retraité","Centre",3,3,3,2,3,3,3,3,3,3,3,4,3,2,3,4,3,5,4,3,3,3,3,3,3,3,3,3,3,2,"oui","Non","oui","Non","oui","oui","oui","oui","oui"
24,"Femme","Etudiant","Centre",5,5,5,4,5,4,1,5,4,5,4,5,2,4,5,5,4,5,5,5,3,3,3,4,5,4,5,2,1,5,"Non","oui","Non","Non","Non","Non","oui","oui","oui"
23,"Femme","Etudiant","Centre",1,1,2,3,1,1,3,1,3,1,2,3,2,2,4,1,1,2,2,1,3,3,2,3,3,2,4,3,2,4,"Non","oui","oui","oui","Non","Non","oui","oui","Non"
61,"Femme","Professionnel","Centre",3,2,3,2,1,5,3,3,3,5,2,3,3,3,2,4,3,2,4,2,2,3,4,1,3,4,1,3,3,5,"Non","oui","Non","Non","oui","oui","Non","Non","oui"
25,"Homme","Etudiant","Sud",3,3,5,3,1,4,2,5,3,4,5,2,5,5,2,4,3,5,4,3,4,1,5,3,4,5,2,4,5,1,"oui","Non","oui","oui","oui","Non","Non","oui","oui"
20,"Homme","Etudiant","Sud",2,1,1,1,2,4,3,1,1,2,2,1,5,1,1,2,2,1,1,2,5,5,1,1,2,2,1,5,3,1,"Non","Non","oui","oui","oui","Non","oui","oui","oui"
39,"Femme","Professionnel","Sud",5,5,5,5,5,4,2,4,2,5,1,5,2,5,5,5,4,4,5,5,3,2,4,4,5,3,5,2,5,5,"Non","oui","Non","Non","oui","Non","oui","oui","oui"
24,"Homme","Etudiant","Sud",2,1,2,1,1,2,3,2,1,2,1,5,2,3,4,2,1,2,2,1,2,4,1,1,1,2,3,2,2,5,"oui","Non","Non","oui","Non","oui","oui","oui","Non"
21,"Homme","Etudiant","Centre",5,4,5,4,3,2,2,4,1,3,4,4,3,2,2,3,4,3,4,2,4,3,3,2,4,4,3,2,2,1,"Non","Non","Non","Non","oui","oui","oui","Non","Non"
18,"Homme","Etudiant","Centre",2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,1,3,3,3,4,"Non","Non","Non","oui","Non","oui","oui","Non","Non"
22,"Femme","Etudiant","Centre",5,4,5,5,3,4,5,4,3,5,1,5,1,4,4,4,1,4,4,4,4,5,3,2,4,5,3,3,1,2,"oui","Non","oui","oui","Non","Non","oui","oui","oui"
55,"Homme","Professionnel","Sud",2,2,1,1,3,4,5,1,2,2,3,2,5,1,1,3,2,1,1,2,5,5,1,2,2,2,2,5,1,1,"Non","oui","oui","Non","Non","oui","Non","Non","oui"
67,"Femme","Retraité","Centre",4,3,5,4,5,4,2,5,5,5,5,2,3,5,2,4,3,5,3,4,4,1,4,3,4,5,4,5,5,4,"Non","Non","Non","Non","oui","oui","oui","oui","Non"
21,"Homme","Etudiant","Sud",5,5,4,5,5,3,3,4,5,4,5,5,1,5,5,5,5,5,5,5,3,3,2,5,5,5,4,3,5,5,"oui","Non","Non","oui","oui","oui","oui","Non","Non"
20,"Homme","Etudiant","Nord",3,2,4,1,2,3,4,3,5,3,4,5,4,4,5,3,2,3,1,1,3,4,3,2,4,4,4,5,4,3,"oui","Non","oui","Non","oui","Non","oui","oui","Non"
30,"Homme","Professionnel","Sud",2,1,1,1,3,4,5,1,4,2,2,4,5,1,1,2,1,1,1,3,4,5,1,2,2,2,5,5,1,1,"oui","oui","oui","oui","oui","oui","oui","Non","Non"
22,"Femme","Etudiant","Centre",5,3,5,5,5,4,3,3,5,3,4,4,2,2,2,5,3,5,1,4,3,4,4,2,3,5,2,1,2,1,"oui","oui","Non","Non","oui","Non","oui","Non","oui"
46,"Femme","Professionnel","Sud",2,3,3,3,4,3,2,1,3,3,3,4,2,3,3,3,3,2,3,3,3,1,3,2,3,2,2,4,3,3,"oui","Non","oui","Non","oui","oui","oui","oui","oui"
25,"Homme","Etudiant","Nord",3,5,5,5,3,3,2,5,2,5,4,4,5,5,2,4,1,5,2,5,5,5,5,2,3,5,4,2,2,3,"Non","Non","oui","oui","oui","oui","Non","oui","oui"
35,"Homme","Professionnel","Centre",2,1,1,2,1,2,4,2,1,2,2,4,2,2,5,1,1,2,3,1,2,3,1,3,2,4,3,2,2,5,"oui","oui","oui","oui","oui","oui","Non","Non","Non"
21,"Homme","Etudiant","Sud",3,2,4,4,2,3,3,3,3,4,4,3,4,4,3,4,4,4,2,2,1,4,5,2,4,4,1,5,4,3,"Non","Non","Non","oui","Non","oui","oui","Non","Non"
61,"Femme","Retraité","Sud",1,2,2,1,2,5,5,1,2,2,3,3,5,2,1,2,2,1,1,1,5,5,1,3,2,2,1,5,1,1,"oui","Non","oui","oui","Non","oui","Non","Non","Non"
74,"Homme","Retraité","Sud",4,2,5,5,3,4,1,5,3,4,4,2,3,5,4,2,2,5,4,4,3,3,5,3,4,5,4,5,5,2,"Non","Non","oui","oui","oui","Non","oui","Non","Non"
21,"Homme","Etudiant","Centre",1,2,2,1,2,5,5,1,2,2,2,2,5,1,1,4,2,2,3,2,5,5,1,2,1,2,1,3,1,3,"oui","Non","Non","Non","oui","Non","Non","Non","oui"
73,"Homme","Retraité","Nord",1,1,2,2,1,2,5,1,3,3,1,2,2,2,3,2,1,2,2,2,1,4,2,1,2,2,5,1,2,5,"oui","Non","Non","Non","oui","Non","oui","oui","Non"
23,"Homme","Etudiant","Nord",4,3,5,2,1,3,1,4,2,3,3,4,2,5,3,1,2,3,3,5,4,4,3,2,5,3,1,1,2,2,"oui","Non","oui","oui","oui","oui","Non","Non","Non"
37,"Femme","Professionnel","Centre",3,4,5,5,5,4,4,5,3,4,5,2,5,5,4,5,3,3,3,4,5,2,5,4,3,5,3,5,5,4,"oui","oui","oui","Non","Non","Non","oui","oui","oui"
21,"Homme","Etudiant","Nord",5,4,5,5,2,5,2,1,2,5,2,5,4,3,5,4,1,5,3,5,3,5,5,4,5,4,2,4,4,5,"oui","oui","oui","oui","oui","Non","Non","oui","Non"
20,"Homme","Etudiant","Centre",4,5,5,2,5,2,1,4,1,5,3,5,4,3,4,3,1,4,2,4,4,5,3,1,2,2,3,2,2,2,"oui","Non","oui","oui","Non","oui","Non","oui","oui"
57,"Femme","Retraité","Nord",5,2,5,4,5,5,2,5,3,4,5,5,5,5,2,4,3,5,4,5,2,2,5,3,2,5,1,5,5,2,"Non","Non","oui","oui","Non","oui","Non","Non","Non"
21,"Femme","Etudiant","Centre",5,4,3,2,2,4,4,2,1,5,5,5,5,4,4,1,2,5,4,1,3,1,2,2,5,2,4,3,1,3,"oui","oui","Non","oui","oui","oui","oui","Non","Non"
40,"Homme","Professionnel","Centre",1,1,1,2,5,3,2,2,2,2,2,1,3,1,2,4,1,2,2,1,2,3,2,3,3,4,4,2,2,4,"oui","oui","Non","oui","oui","Non","oui","oui","Non"
61,"Homme","Professionnel","Centre",3,4,1,1,2,3,5,1,1,2,2,2,4,1,1,2,2,1,2,3,4,4,2,2,2,3,1,5,2,1,"Non","Non","Non","oui","Non","oui","oui","Non","oui"
56,"Femme","Professionnel","Sud",3,3,1,2,1,3,5,2,2,4,4,3,5,4,3,3,1,3,2,2,3,4,2,3,2,4,1,4,4,3,"oui","Non","Non","oui","Non","oui","oui","oui","Non"
69,"Femme","Retraité","Nord",5,5,5,3,5,2,3,4,4,5,5,5,3,5,4,5,5,5,5,5,3,3,4,3,5,5,5,3,5,5,"oui","oui","Non","oui","oui","Non","Non","Non","Non"
27,"Femme","Professionnel","Nord",2,2,1,1,2,5,5,1,4,1,3,1,3,1,2,2,3,1,1,2,5,4,2,2,2,2,1,4,1,1,"Non","oui","Non","oui","Non","Non","oui","oui","oui"
30,"Homme","Professionnel","Centre",3,4,4,3,3,3,2,3,2,3,4,3,1,3,4,2,3,3,4,1,3,2,3,3,3,3,3,4,3,4,"oui","oui","oui","oui","Non","Non","Non","Non","oui"
22,"Femme","Etudiant","Nord",3,5,5,2,5,5,5,4,2,3,4,3,5,5,5,1,1,5,3,5,5,1,4,4,5,4,3,5,5,4,"oui","oui","Non","oui","oui","Non","oui","oui","oui"
58,"Femme","Professionnel","Sud",3,3,5,4,5,4,2,5,3,4,3,2,5,5,2,4,2,5,4,4,5,1,5,4,4,5,3,5,5,2,"Non","oui","oui","Non","Non","oui","Non","Non","Non"
28,"Homme","Professionnel","Sud",2,2,1,1,1,5,5,4,2,3,2,2,5,1,1,1,2,1,1,2,4,5,1,2,2,2,2,4,2,1,"Non","Non","Non","Non","Non","oui","oui","Non","oui"
22,"Homme","Etudiant","Nord",5,5,5,5,3,5,3,4,2,5,4,4,4,3,5,3,5,5,5,5,4,4,5,3,5,5,5,2,2,5,"oui","oui","Non","Non","oui","Non","oui","Non","Non"
25,"Homme","Etudiant","Sud",3,2,3,4,2,1,4,3,3,3,3,3,2,3,5,2,2,2,1,2,2,4,2,3,3,4,3,3,4,3,"Non","oui","Non","oui","oui","Non","Non","Non","Non"
23,"Homme","Etudiant","Centre",5,3,3,4,3,3,2,4,3,5,5,2,2,4,2,4,1,4,2,4,3,4,3,1,4,3,4,2,3,3,"oui","Non","oui","oui","oui","Non","Non","Non","Non"
22,"Homme","Etudiant","Nord",4,4,4,5,2,3,2,4,5,4,2,5,5,5,3,5,1,4,1,5,5,5,4,2,3,3,3,1,2,1,"oui","Non","Non","Non","oui","Non","oui","Non","oui"
24,"Homme","Etudiant","Centre",5,4,5,4,2,3,4,4,2,2,2,5,5,3,2,1,2,5,1,3,4,5,4,2,2,4,4,1,2,3,"Non","oui","Non","Non","oui","Non","Non","oui","oui"
23,"Homme","Etudiant","Centre",4,3,1,2,3,5,4,3,3,3,1,3,4,3,4,3,5,4,3,5,5,3,3,3,4,4,3,2,3,3,"Non","oui","Non","oui","oui","Non","Non","oui","Non"
20,"Homme","Etudiant","Sud",1,1,2,2,1,3,4,3,4,3,4,1,5,4,3,2,4,3,2,2,3,4,3,3,4,4,2,4,3,3,"Non","Non","Non","Non","oui","oui","oui","Non","oui"
20,"Homme","Etudiant","Centre",2,4,5,5,5,1,4,4,1,5,5,3,2,4,3,3,2,5,2,5,4,4,4,2,4,5,3,1,1,3,"Non","oui","oui","Non","oui","Non","oui","Non","oui"
42,"Homme","Professionnel","Sud",3,2,3,3,3,5,3,2,4,4,3,3,1,4,3,2,2,3,2,2,3,3,3,4,4,5,3,4,4,3,"oui","Non","oui","oui","Non","oui","Non","Non","Non"
51,"Femme","Professionnel","Nord",5,1,3,4,2,3,5,3,4,2,3,1,5,4,4,3,3,2,2,2,4,2,3,2,3,4,3,4,4,2,"oui","oui","Non","Non","oui","Non","Non","oui","Non"
22,"Homme","Etudiant","Nord",5,3,5,5,3,3,2,3,1,2,3,5,5,2,5,1,3,3,1,4,4,1,4,2,3,4,4,5,5,1,"Non","Non","oui","Non","oui","Non","Non","oui","oui"
22,"Homme","Etudiant","Centre",3,3,5,4,3,4,2,3,3,3,3,4,3,4,3,5,4,4,4,1,5,2,2,3,5,4,3,3,1,2,"oui","Non","oui","Non","Non","oui","oui","oui","oui"
23,"Homme","Etudiant","Centre",5,3,4,5,3,4,4,5,1,4,5,5,5,5,5,2,1,5,1,5,5,5,3,4,5,5,3,3,1,1,"oui","oui","oui","oui","Non","Non","oui","oui","Non"
63,"Homme","Professionnel","Centre",2,3,1,1,1,5,5,1,1,3,2,1,5,2,1,2,2,1,1,2,5,5,1,2,2,2,2,5,1,2,"Non","Non","oui","Non","oui","Non","Non","Non","oui"
